Creating graph ...
BW;Min;Max;Avg;Len
0.0;0.0;1.349;1.88;1.67644;25
0.0;25.0;1.557;1.882;1.76744444444;9
0.0;50.0;1.528;1.837;1.67015384615;13
0.0;75.0;1.565;1.861;1.74327272727;11
0.0;100.0;1.624;1.859;1.73814285714;7
0.0;125.0;1.56;1.89;1.79171428571;14
0.0;150.0;1.624;1.854;1.76228571429;7
0.0;175.0;1.587;1.897;1.7453;10
0.0;200.0;1.607;1.882;1.78271428571;7
0.0;225.0;1.68;1.868;1.7658;5
0.0;250.0;1.612;1.873;1.75916666667;12
0.0;275.0;1.53;1.885;1.75735294118;17
0.0;300.0;1.672;1.889;1.77366666667;6
0.0;325.0;1.554;1.873;1.76728571429;14
0.0;350.0;1.646;1.889;1.80672727273;11
0.0;375.0;1.659;1.854;1.77428571429;14
0.0;400.0;1.672;1.835;1.7502;10
0.0;425.0;1.646;1.894;1.7880952381;21
0.0;450.0;1.589;1.892;1.78714285714;21
0.0;475.0;1.655;1.891;1.7784;20
0.0;500.0;1.485;1.886;1.76625;20
0.0;525.0;1.648;1.891;1.80076923077;26
0.0;550.0;1.595;1.893;1.7737;30
0.0;575.0;1.47;1.889;1.77653571429;28
0.0;600.0;1.599;1.887;1.7849375;32
0.0;625.0;1.56;1.89;1.77919047619;42
0.0;650.0;1.679;1.893;1.81791666667;24
0.0;675.0;1.583;1.897;1.80078571429;28
0.0;700.0;1.792;1.879;1.84433333333;3
25.0;0.0;1.601;1.845;1.7488;5
25.0;25.0;1.574;1.896;1.721;12
25.0;50.0;1.617;1.887;1.77755555556;9
25.0;75.0;1.543;1.885;1.73214285714;7
25.0;100.0;1.585;1.858;1.733;11
25.0;125.0;1.636;1.887;1.778625;8
25.0;150.0;1.624;1.893;1.81625;8
25.0;175.0;1.619;1.869;1.77238461538;13
25.0;200.0;1.6;1.829;1.7372;5
25.0;225.0;1.627;1.879;1.7521;10
25.0;250.0;1.532;1.869;1.73721428571;14
25.0;275.0;1.624;1.88;1.7908;10
25.0;300.0;1.654;1.883;1.77716666667;6
25.0;325.0;1.597;1.862;1.70816666667;6
25.0;350.0;1.655;1.88;1.75983333333;6
25.0;375.0;1.69;1.882;1.76261538462;13
25.0;400.0;1.647;1.875;1.75472727273;11
25.0;425.0;1.574;1.875;1.76157142857;14
25.0;450.0;1.561;1.874;1.78807692308;13
25.0;475.0;1.633;1.851;1.7783;10
25.0;500.0;1.607;1.836;1.7445;12
25.0;525.0;1.59;1.884;1.78182352941;17
25.0;550.0;1.684;1.879;1.79769565217;23
25.0;575.0;1.522;1.876;1.73028571429;14
25.0;600.0;1.653;1.884;1.78544444444;9
25.0;625.0;1.629;1.895;1.79936;25
25.0;650.0;1.584;1.893;1.79526923077;26
25.0;675.0;1.595;1.887;1.78011111111;18
25.0;700.0;1.728;1.889;1.8085;2
