BW,Min,P_Min,Max,P_Max,Avg,P_Avg,Samples,,,,,,,
0,4.138,7.8493,4.237,7.914,4.18444444444,7.877734739704,9,,,,,,,
1,4.381,7.8522,4.393,7.9131,4.387,7.879099386169,2,,,,,,,
5,4.186,7.8316,4.24,7.8974,4.2133,7.860999386169,10,,,,,,,
10,4.166,7.8302,4.241,7.8945,4.1915,7.858579386169,8,,,,,,,
15,4.167,7.8309,4.24,7.8933,4.20118181818,7.858965100455,11,,,,,,,
20,4.169,7.8328,4.237,7.8933,4.20225,7.858686918637,12,,,,,,,
25,4.181,7.8338,4.238,7.8924,4.21477777778,7.858711918637,9,,,,,,,
30,4.169,7.8326,4.243,7.8935,4.19746153846,7.856823614543,13,,,,,,,
35,4.167,7.8326,4.24,7.8923,4.19218181818,7.856713824333,11,,,,,,,
40,4.169,7.8328,4.231,7.8924,4.19325,7.858159278879,12,,,,,,,
45,4.167,7.8333,4.228,7.8912,4.19809090909,7.858748564593,11,,,,,,,
50,4.175,7.8348,4.236,7.8921,4.206,7.860079473684,9,,,,,,,
55,4.172,7.8345,4.211,7.892,4.1891,7.859491973684,10,,,,,,,
60,4.173,7.8342,4.229,7.8929,4.19535714286,7.859171973684,14,,,,,,,
65,4.186,7.835,4.24,7.8946,4.1984,7.861072623034,15,,,,,,,
70,4.179,7.8336,4.228,7.8953,4.2025,7.861662623034,8,,,,,,,
75,4.169,7.8328,4.249,7.8968,4.19589473684,7.86075877688,19,,,,,,,
80,4.169,7.833,4.231,7.8944,4.19636363636,7.860952636529,11,,,,,,,
85,4.169,7.8341,4.241,7.8941,4.20663636364,7.862278772893,11,,,,,,,
90,4.174,7.8342,4.219,7.8952,4.19914285714,7.861277636529,7,,,,,,,
95,4.182,7.8339,4.237,7.8956,4.2114,7.860881532633,5,,,,,,,
100,4.172,7.8329,4.235,7.8943,4.200125,7.859326148018,8,,,,,,,
105,4.169,7.8338,4.22,7.8946,4.1859,7.858988648018,10,,,,,,,
110,4.181,7.8344,4.246,7.8971,4.21436363636,7.861806981351,11,,,,,,,
115,4.172,7.8336,4.247,7.8953,4.2043,7.859728951048,10,,,,,,,
120,4.171,7.8334,4.243,7.8931,4.19346153846,7.858773951048,13,,,,,,,
125,4.171,7.8336,4.225,7.8935,4.19783333333,7.859399225773,12,,,,,,,
130,4.18,7.8336,4.228,7.8937,4.209625,7.85922839244,8,,,,,,,
135,4.17,7.8326,4.252,7.8949,4.196625,7.857632559107,8,,,,,,,
140,4.171,7.8335,4.223,7.8935,4.19518181818,7.858636725774,11,,,,,,,
145,4.172,7.8338,4.224,7.8959,4.19584615385,7.859518543956,13,,,,,,,
150,4.181,7.834,4.238,7.8978,4.19675,7.859878373015,4,,,,,,,
155,4.175,7.8345,4.245,7.899,4.21408333333,7.861311065323,12,,,,,,,
160,4.173,7.8343,4.228,7.899,4.19358333333,7.859584550172,12,,,,,,,
165,4.17,7.8345,4.225,7.9014,4.19475,7.860215105728,4,,,,,,,
170,4.173,7.8351,4.247,7.9026,4.19971428571,7.861300105728,14,,,,,,,
175,4.171,7.8369,4.227,7.9033,4.196125,7.862784927157,8,,,,,,,
180,4.17,7.8377,4.24,7.9049,4.19366666667,7.863289093824,9,,,,,,,
185,4.179,7.8389,4.238,7.9052,4.20666666667,7.864858790793,6,,,,,,,
190,4.174,7.8382,4.247,7.9054,4.204,7.863813176758,10,,,,,,,
195,4.174,7.8389,4.243,7.9043,4.19944444444,7.864002065647,9,,,,,,,
200,4.186,7.8388,4.25,7.9049,4.21107692308,7.864457621203,13,,,,,,,
